Country:text,Period:text,Year:year,values:number
Latvia,1992-2017,2014,65
Latvia,1992-2017,2015,68
Latvia,1992-2017,2016,68
Latvia,1992-2017,2017,68
Lithuania,1992-2017,1992,490
Lithuania,1992-2017,1993,524
Lithuania,1992-2017,1994,598
Lithuania,1992-2017,1995,551
Lithuania,1992-2017,1996,615
Lithuania,1992-2017,1997,454
Lithuania,1992-2017,1998,238
Lithuania,1992-2017,1999,277
Lithuania,1992-2017,2000,321
Lithuania,1992-2017,2001,104
Lithuania,1992-2017,2002,333
Lithuania,1992-2017,2003,325
Lithuania,1992-2017,2004,170
Lithuania,1992-2017,2005,141
Lithuania,1992-2017,2006,144
Lithuania,1992-2017,2007,83
Lithuania,1992-2017,2008,145
Lithuania,1992-2017,2009,233
Lithuania,1992-2017,2010,130
Lithuania,1992-2017,2011,108
Lithuania,1992-2017,2012,77
Lithuania,1992-2017,2013,88
Lithuania,1992-2017,2014,74
Lithuania,1992-2017,2015,64
Lithuania,1992-2017,2016,136
Lithuania,1992-2017,2017,71
North Macedonia,1992-2017,1992,426
North Macedonia,1992-2017,1993,735
North Macedonia,1992-2017,1994,752
North Macedonia,1992-2017,1995,959
North Macedonia,1992-2017,1996,704
North Macedonia,1992-2017,1997,610
North Macedonia,1992-2017,1998,517
North Macedonia,1992-2017,1999,423
North Macedonia,1992-2017,2000,714
North Macedonia,1992-2017,2001,1068
North Macedonia,1992-2017,2002,512
North Macedonia,1992-2017,2003,449
North Macedonia,1992-2017,2004,376
North Macedonia,1992-2017,2005,318
North Macedonia,1992-2017,2006,381
North Macedonia,1992-2017,2007,434
North Macedonia,1992-2017,2008,487
North Macedonia,1992-2017,2009,321
North Macedonia,1992-2017,2010,172
North Macedonia,1992-2017,2011,266
North Macedonia,1992-2017,2012,263
North Macedonia,1992-2017,2013,241
North Macedonia,1992-2017,2014,327
North Macedonia,1992-2017,2015,230
North Macedonia,1992-2017,2016,182
North Macedonia,1992-2017,2017,182
Norway,1992-2017,1992,13
Norway,1992-2017,1993,11
Norway,1992-2017,1994,12
Norway,1992-2017,1995,14
Norway,1992-2017,1996,14
Norway,1992-2017,1997,14
Norway,1992-2017,1998,10
Norway,1992-2017,1999,11
Norway,1992-2017,2000,10
Norway,1992-2017,2001,13
Norway,1992-2017,2002,8
Norway,1992-2017,2003,11
Norway,1992-2017,2004,9
Norway,1992-2017,2005,7
Norway,1992-2017,2006,11
Norway,1992-2017,2007,6
Norway,1992-2017,2008,7
Norway,1992-2017,2009,6
Norway,1992-2017,2010,11
Norway,1992-2017,2011,9
Norway,1992-2017,2012,8
Norway,1992-2017,2013,10
Norway,1992-2017,2014,9
Norway,1992-2017,2015,6
Norway,1992-2017,2016,6
Norway,1992-2017,2017,6
Slovenia,1992-2017,1992,266
Slovenia,1992-2017,1993,266
Slovenia,1992-2017,1994,266
Slovenia,1992-2017,1995,266
Slovenia,1992-2017,1996,285
Slovenia,1992-2017,1997,308
Slovenia,1992-2017,1998,173
Slovenia,1992-2017,1999,160
Slovenia,1992-2017,2000,175
Slovenia,1992-2017,2001,225
Slovenia,1992-2017,2002,178
Slovenia,1992-2017,2003,126
Slovenia,1992-2017,2004,121
Slovenia,1992-2017,2005,101
Slovenia,1992-2017,2006,80
Slovenia,1992-2017,2007,50
Slovenia,1992-2017,2008,42
Slovenia,1992-2017,2009,36
Slovenia,1992-2017,2010,56
Slovenia,1992-2017,2011,49
Slovenia,1992-2017,2012,47
Slovenia,1992-2017,2013,36
Slovenia,1992-2017,2014,29
Slovenia,1992-2017,2015,31
Slovenia,1992-2017,2016,31
Slovenia,1992-2017,2017,31
Spain,1992-2017,1992,714
